"want_to_help","want_to_therapy","want_to_science","want_to_fun","conf_math","conf_symb_log","conf_real_log","conf_sci_meth","conf_writing","conf_sci_reading","conf_govmt","conf_vacc","conf_excel","conf_prog","conf_arts","like_dog","like_cat","like_snake","like_turtle","like_bat","like_dolphin","like_dnd","like_toenail","like_football","like_olympics","like_pie","like_pi","gender","pronouns","handedness","hispanic","ethnicity","hair_color","eye_color","siblings","job","caffeine","grade_predict","units","hrs_tv","hrs_reading","hrs_working","hrs_sleeping","hrs_school_work","hrs_excersize","hrs_other","hrs_per_day","hs_gpa","exam_option","final_exam_pref"
"Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree",28.38,40,39.71,63.24,100,79.26,7.79,40.74,1.03,27.94,100,20.147,100,42.206,52.059,83.235,41.029,1.029,0,1.912,60.735,55.294,78.529,"Female","she/her","Right","Hispanic","White","Other","Hazel",1,"No","Yes",85.44,58,3.32,1.31,0.56,5.36,10.87,NA,24,45.42,4,"Online","Yes"
"Somewhat Agree","Somewhat Agree","Somewhat Disagree","Neither Agree nor Disagree",50.17,9.49,6.1,50.17,31.86,14.92,12.54,9.49,14.58,7.12,17.97,100,100,5.085,10.169,5.085,0,4.068,2.034,50.169,4.407,3.39,3.051,"Female","she/her","Right","Hispanic","Asian","Brunette","Brown",1,"No","Yes",90.51,30,24,12.04,6.51,24,24,24,24,138.55,3.05,"Online","Yes"
"Strongly Agree","Strongly Agree","Neither Agree nor Disagree","Strongly Agree",70,30,80,60,80,70,20,85,10,0,95,90,100,70,80,30,80,60,0,30,40,100,10,"Female","she/her","Right","Hispanic","White","Brunette","Brown",1,"No","Yes",93.57,29,2.06,1.11,1.11,7.54,4.29,2.23,2.31,20.65,3.89,"Online","No"
"Strongly Agree","Somewhat Agree","Neither Agree nor Disagree","Strongly Agree",89.34,80.25,77.12,81.5,67.4,69.59,42.95,47.65,50.47,37.62,31.97,100,41.379,0,62.382,0,58.307,5.016,10.031,100,6.27,5.329,7.837,"Female","she/her","Right","Hispanic","White","Brunette","Brown",2,"Yes","No",90.28,35,0.83,1.05,10.01,0.83,7,2.03,4.21,25.96,4,"Online","Yes"
"Strongly Agree","Strongly Agree","Somewhat Agree","Strongly Agree",63.68,63.38,93.97,93.68,93.09,83.68,92.65,83.24,83.24,30.74,100,100,100,3.235,58.676,15.882,27.353,1.176,1.176,1.176,1.176,60.588,1.176,"Female","she/her","Right","Hispanic","White","Blonde","Hazel",2,"Yes","No",93.09,40,0.99,2.01,5.72,8.05,7.41,1.06,3.85,29.09,4,"Online","Yes"
"Somewhat Agree","Strongly Agree","Somewhat Agree","Somewhat Agree",66.32,58.68,60.15,6.18,47.06,44.85,63.53,88.53,20.74,2.21,20.29,93.088,81.029,3.824,17.059,25.147,36.176,4.412,0,67.647,54.118,70.441,3.088,"Male","he/him","Right","Hispanic","White","Brunette","Blue",2,"No","No",91.76,32,1.27,0.6,3,7.98,5.82,2.19,3.92,24.78,3.73,"No Preference","Yes"
"Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Strongly Agree",6.07,10.71,25.36,21.43,100,39.64,40.71,80.36,8.21,0,100,100,0,0,29.286,0,74.643,0,0,0,100,86.429,0,"Female","she/her","Right","Non-Hispanic","Black","Other","Brown",7,"No","No",92.5,47,5.31,20.57,1.46,14.31,20.49,9.69,6.17,78,4,"Online","Yes"
"Strongly Agree","Somewhat Agree","Somewhat Agree","Somewhat Agree",64.41,90.85,95.25,67.46,25.08,26.44,73.56,59.66,63.39,18.64,32.54,100,13.898,50.508,75.593,26.102,75.593,7.797,4.407,87.458,39.322,62.034,24.746,"Male","he/him","Right","Hispanic","White","Blonde","Blue",0,"Yes","No",85.08,31,1.95,0,4.07,7.81,4.56,2.36,2.85,23.6,3.04,"Online","Yes"
"Strongly Agree","Somewhat Agree","Somewhat Agree","Strongly Agree",98.31,66.1,100,52.2,100,87.12,37.29,100,100,100,56.61,100,23.051,100,40.678,44.407,55.932,2.712,100,3.39,66.102,81.695,100,"Female","she/her","Right","Hispanic","Asian","Brunette","Brown",1,"Yes","Yes",97.63,32,0,3.09,0,8.3,9.93,3.01,8.54,32.87,4,"Online","Yes"
"Somewhat Agree","Strongly Agree","Strongly Disagree","Neither Agree nor Disagree",12.94,2.94,94.26,2.79,94.26,47.35,77.65,92.79,3.09,1.91,100,95.735,93.824,70.441,65.294,1.912,4.706,30.147,5.441,68.529,90.588,100,100,"Male","he/him","Right","Hispanic","Two or more","Other","Brown",2,"Yes","Yes",92.79,92,0.99,0.39,3.11,7.98,3.99,1.98,0.25,18.69,3.89,"In-person","Yes"
